category_id,category_name,category_code
8f260fb365184b9682eb4f61f8b50fa6,Candy & Sweets,CANDY_AND_SWEETS
c3ca572b96c34d5f909fb2512810e980,Dairy,DAIRY
5cfb40f62b714e9fbd5d780dbf341711,Baby,BABY
bf183d69c36648b4a4a239e60fe8daf0,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT
42d2f15203504066acabfda1a2582f6f,Personal Care,PERSONAL_CARE
d4860e1dec8849c1918c7beb84f1e048,Beauty & Personal Care,BEAUTY_AND_PERSONAL_CARE
0a6b33f84a094a35a51a0825ca746894,Outdoor,OUTDOOR
50e232609579496e8430a6240c6270c0,Health & Wellness,HEALTHY_AND_WELLNESS
f111647ba10e45ae864699bbf6b203c9,Household,HOUSEHOLD
f8b5ed8e6ca64c299ddb36bf7c896e4e,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED
5f7aa54b85a24eb9964a0189f51b28c1,Grocery,GROCERY
b3ff6259142246bb929ed6a6609b0683,Magazines,MAGAZINES
eaf9b498c33d4c8aae92aee8c28cbe85,Beauty,BEAUTY
20cea29f26664d1789a5898c09e828bb,Breakfast & Cereal,BREAKFAST_AND_CEREAL
7a5bb505eac74bd7a9bbe109c7f8935b,Canned Goods & Soups,CANNED_GOODS_AND_SOUPS
1aa6b0ce4d584187b33fbbe69c768447,Beer Wine Spirits,BEER_WINE_SPIRITS
dd42dac49832472085b4a2cecbcbc151,Deli,DELI
1ce4f2331b89453ba3e7f3990d69b610,Baking,BAKING
3aa266fca4fa4e77a04cde7c1d05373b,Snacks,SNACKS
b74bd6fe51ba43b6b20b086164db9093,Beverages,BEVERAGES
383a15cf34fc479387d17f45de520af3,Condiments & Sauces,CONDIMENTS_AND_SAUCES
2f822f57814e485c8cd28b19b4f39b08,Frozen,FROZEN
5a37c204a71748f8a83bcb05e23b5cfa,Bread & Bakery,BREAD_AND_BAKERY
