receipt_id,barcode,item_description,brand_code,item_number,competitive_product,rewards_group,competitor_rewards_group,deleted,quantity_purchased,item_price,target_price,discounted_item_price,price_after_coupon,final_price,partner_item_id,rewards_product_partner_id,points_payer_id,points_earned,needs_fetch_review,needs_fetch_review_reason,points_not_awarded_reason,prevent_target_gap_points,user_flagged_barcode,user_flagged_new_item,user_flagged_price,user_flagged_quantity,user_flagged_description,original_meta_brite_barcode,original_meta_brite_description,original_receipt_item_text,original_meta_brite_quantity_purchased,original_final_price,original_meta_brite_item_price,metabrite_campaign_id,src_file
600ed49e0a7214ada200001b,043000956113,Kool-Aid Aguas Frescas Mandarina-TANGerine Unsweetened Drink Mix 0.16 oz. Packet,,,,KOOL-AID POWDERED DRINK MIX,,,1.0,1.0,800.0,,,1.0,1,559c2234e4b06aca36af13c6,559c2234e4b06aca36af13c6,5.0,,,,,,,,,,,,,,,,,receipts.json
600f24970a720f053500002f,,PIAY DOH,,,,,,,1.0,0.56,,0.56,,0.56,1232,,,,,,,,,,,,,,,PIAY DOH,,,,,receipts.json
600260210a720f05f300008f,076840100354,BEN & JERRYS FROZEN CHUNKY MONKEY ICE CREAM REGULAR 16 OZ - 0076840100351,BEN AND JERRYS,,,BEN AND JERRYS ICE CREAM,,,5.0,21.65,,21.65,21.65,21.65,1468,5332f5f6e4b03c9a25efd0b4,5332f5f6e4b03c9a25efd0b4,216.5,,,,,,,,,,,,BEN & JERRY' S CHUNKY MONKEY PINT,,,,BEN AND JERRYS ICE CREAM,receipts.json
600f0cc70a720f053500002c,,PC IMPULSE,,,,,,,1.0,1.0,,1.0,,1.0,1176,,,,,,,,,,,,,,,PC IMPULSE,,,,,receipts.json
600ba6ae0a7214ada2000010,,KLLGO FUN PACKCI,,,,,,,1.0,4.99,,4.99,,4.99,1066,,,,,,,,,,,,,,,KLLGO FUN PACKCI,,,,,receipts.json
60088d580a7214ad890000eb,4011,ITEM NOT FOUND,,,,,,,7.0,26.0,,,,26.0,1,,,,False,,,True,4011,True,25.0,4.0,,,,,,,,,receipts.json
60025cb80a720f05f300008d,,KELL ORIG FRSTD MINI,KELLOGG'S,,,,,,1.0,4.29,,4.29,4.29,4.29,1082,,,,,,,,,,,,,,,KELL ORIG FRSTD MINI,,,,,receipts.json
600b39f60a720f053500000e,,CHEESE SAUCE,SIGNATURE KITCHEN,,,,,,1.0,2.34,,2.34,,2.34,1247,,,,,,,,,,,,,,,CHEESE SAUCE,,,,,receipts.json
60099c3c0a7214ad89000135,012000810022,CAFFEINE FREE REGULAR PEPSI SODA COLA CAN IN BOX 12 CT 144 OZ,PEPSI,,,PEPSI 12 OZ 12 PACK,,,1.0,1.01,,1.01,,1.01,1298,5332f5fbe4b03c9a25efd0ba,5332f5fbe4b03c9a25efd0ba,,,,Action not allowed for user and CPG,,,,,,,,,"PEPSI COLA, 12 OZ CAN",,,,PEPSI 12 OZ 12 PACK,receipts.json
600f39c30a7214ada2000030,,Sparkling Water,,,,,,,2.0,5.0,,5.0,5.0,5.0,1372,,,,,,,,,,,,,,,SPARKLING,,,,,receipts.json
