receipt_id,bonus_points_earned,bonus_points_earned_reason,create_date,date_scanned,finished_date,modify_date,points_awarded_date,points_earned,purchase_date,purchased_item_count,rewards_receipt_status,total_spent,user_id,contains_items
5ff1e1eb0a720f0523000575,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:31-05:00,2021-01-03 10:25:31-05:00,2021-01-03 15:25:31+00:00,2021-01-03 15:25:36+00:00,2021-01-03 10:25:31-05:00,500.0,2021-01-02 19:00:00-05:00,5.0,FINISHED,26.0,5ff1e1eacfcf6c399c274ae6,True
5ff1e1bb0a720f052300056b,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:43-05:00,2021-01-03 10:24:43-05:00,2021-01-03 15:24:43+00:00,2021-01-03 15:24:48+00:00,2021-01-03 10:24:43-05:00,150.0,2021-01-02 10:24:43-05:00,2.0,FINISHED,11.0,5ff1e194b6a9d73a3a9f1052,True
5ff1e1f10a720f052300057a,5.0,All-receipts receipt bonus,2021-01-03 10:25:37-05:00,2021-01-03 10:25:37-05:00,,2021-01-03 15:25:42+00:00,,5.0,2021-01-02 19:00:00-05:00,1.0,REJECTED,10.0,5ff1e1f1cfcf6c399c274b0b,True
5ff1e1ee0a7214ada100056f,5.0,All-receipts receipt bonus,2021-01-03 10:25:34-05:00,2021-01-03 10:25:34-05:00,2021-01-03 15:25:34+00:00,2021-01-03 15:25:39+00:00,2021-01-03 10:25:34-05:00,5.0,2021-01-02 19:00:00-05:00,4.0,FINISHED,28.0,5ff1e1eacfcf6c399c274ae6,True
5ff1e1d20a7214ada1000561,5.0,All-receipts receipt bonus,2021-01-03 10:25:06-05:00,2021-01-03 10:25:06-05:00,2021-01-03 15:25:11+00:00,2021-01-03 15:25:11+00:00,2021-01-03 10:25:06-05:00,5.0,2021-01-02 10:25:06-05:00,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,True
5ff1e1e40a7214ada1000566,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:24-05:00,2021-01-03 10:25:24-05:00,2021-01-03 15:25:25+00:00,2021-01-03 15:25:30+00:00,2021-01-03 10:25:25-05:00,750.0,2021-01-02 10:25:24-05:00,1.0,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,True
5ff1e1cd0a720f052300056f,5.0,All-receipts receipt bonus,2021-01-03 10:25:01-05:00,2021-01-03 10:25:01-05:00,2021-01-03 15:25:02+00:00,2021-01-03 15:25:02+00:00,2021-01-03 10:25:02-05:00,5.0,2021-01-03 10:25:01-05:00,1.0,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,True
5ff1e1a40a720f0523000569,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:20-05:00,2021-01-03 10:24:20-05:00,2021-01-03 15:24:21+00:00,2021-01-03 15:24:21+00:00,2021-01-03 10:24:21-05:00,500.0,2020-12-26 19:00:00-05:00,1.0,FINISHED,10.0,5ff1e194b6a9d73a3a9f1052,True
5ff1e1ed0a7214ada100056e,5.0,All-receipts receipt bonus,2021-01-03 10:25:33-05:00,2021-01-03 10:25:33-05:00,2021-01-03 15:25:34+00:00,2021-01-03 15:25:38+00:00,2021-01-03 10:25:34-05:00,5.0,2021-01-02 19:00:00-05:00,5.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6,True
5ff1e1eb0a7214ada100056b,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:31-05:00,2021-01-03 10:25:31-05:00,2021-01-03 15:25:31+00:00,2021-01-03 15:25:36+00:00,2021-01-03 10:25:31-05:00,250.0,2021-01-02 19:00:00-05:00,3.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6,True
5ff1e1c50a720f052300056c,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:53-05:00,2021-01-03 10:24:53-05:00,2021-01-03 15:24:53+00:00,2021-01-03 15:24:53+00:00,2021-01-03 10:24:53-05:00,100.0,2021-01-02 10:24:53-05:00,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,True
5ff1e1a10a720f0523000568,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:17-05:00,2021-01-03 10:24:17-05:00,2021-01-03 15:39:20+00:00,2021-01-03 15:39:20+00:00,2021-01-03 10:24:19-05:00,750.0,2021-01-01 19:00:00-05:00,5.0,FINISHED,50.0,5ff1e194b6a9d73a3a9f1052,True
5ff1e1b60a7214ada100055c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:38-05:00,2021-01-03 10:24:38-05:00,,2021-01-03 15:24:38+00:00,,8850.0,2021-02-03 10:24:38-05:00,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,True
5f9c74f70a7214ad07000037,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 16:17:59-04:00,2020-10-30 16:17:59-04:00,,2021-01-03 15:24:54+00:00,2020-10-30 16:18:00-04:00,750.0,2020-10-29 16:17:59-04:00,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839,True
5ff1e1b20a7214ada100055a,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:34-05:00,2021-01-03 10:24:34-05:00,2021-01-03 15:24:35+00:00,2021-01-03 15:24:35+00:00,2021-01-03 10:24:35-05:00,300.0,2021-02-03 10:24:35-05:00,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,True
5ff1e1e90a7214ada1000569,,,2021-01-03 10:25:29-05:00,2021-01-03 10:25:29-05:00,,2021-01-03 15:25:29+00:00,,,,0.0,FLAGGED,0.0,5ff1e1e9b6a9d73a3a9f10f6,True
5ff1e1df0a7214ada1000564,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:19-05:00,2021-01-03 10:25:19-05:00,2021-01-03 15:25:20+00:00,2021-01-03 15:25:25+00:00,2021-01-03 10:25:19-05:00,750.0,2021-01-02 10:25:19-05:00,2.0,FINISHED,11.0,5ff1e1dfcfcf6c399c274ab3,True
5ff1e1b40a7214ada100055b,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:36-05:00,2021-01-03 10:24:36-05:00,,2021-01-03 15:24:37+00:00,2021-01-03 10:24:36-05:00,750.0,2021-01-02 10:24:36-05:00,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54,True
5ff1e1eb0a720f0523000576,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:31-05:00,2021-01-03 10:25:31-05:00,2021-01-03 15:25:32+00:00,2021-01-03 15:25:36+00:00,2021-01-03 10:25:32-05:00,300.0,2021-01-02 19:00:00-05:00,2.0,FINISHED,26.0,5ff1e1eacfcf6c399c274ae6,True
5ff1e1c80a720f052300056d,5.0,All-receipts receipt bonus,2021-01-03 10:24:56-05:00,2021-01-03 10:24:56-05:00,2021-01-03 15:25:02+00:00,2021-01-03 15:25:02+00:00,2021-01-03 10:24:56-05:00,5.0,2021-01-02 10:24:56-05:00,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,True
5f9c74f90a7214ad07000038,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2020-10-30 16:18:01-04:00,2020-10-30 16:18:01-04:00,2021-01-03 15:39:55+00:00,2021-01-03 15:39:55+00:00,2021-01-03 10:39:55-05:00,389.2,2020-10-29 16:18:01-04:00,6.0,FINISHED,14.0,5f9c74e3f1937815bd2c1d73,True
5ff1e1960a720f0523000567,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:24:06-05:00,2021-01-03 10:24:06-05:00,2021-01-03 15:24:10+00:00,2021-01-03 15:24:10+00:00,2021-01-03 10:24:10-05:00,750.0,2021-01-02 10:24:06-05:00,1.0,FINISHED,1.0,5ff1e196cfcf6c399c274a38,True
5ff1e1ec0a7214ada100056c,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03 10:25:32-05:00,2021-01-03 10:25:32-05:00,2021-01-03 15:25:32+00:00,2021-01-03 15:25:37+00:00,2021-01-03 10:25:32-05:00,150.0,2021-01-02 19:00:00-05:00,2.0,FINISHED,21.0,5ff1e1eacfcf6c399c274ae6,True
5ff1e1d70a720f0523000571,40.0,COMPLETE_PARTNER_RECEIPT,2021-01-03 10:25:11-05:00,2021-01-03 10:25:11-05:00,2021-01-03 15:25:12+00:00,2021-01-03 15:25:12+00:00,2021-01-03 10:25:12-05:00,185.0,2021-01-02 10:25:11-05:00,2.0,FINISHED,2.0,5ff1e194b6a9d73a3a9f1052,True
5ff1e1c60a7214ada100055e,5.0,All-receipts receipt bonus,2021-01-03 10:24:54-05:00,2021-01-03 10:24:54-05:00,2021-01-03 15:24:59+00:00,2021-01-03 15:24:59+00:00,2021-01-03 10:24:54-05:00,5.0,2021-01-02 10:24:54-05:00,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,True
5ff1e1ee0a7214ada1000570,5.0,All-receipts receipt bonus,2021-01-03 10:25:34-05:00,2021-01-03 10:25:34-05:00,2021-01-03 15:25:35+00:00,2021-01-03 15:25:40+00:00,2021-01-03 10:25:35-05:00,5.0,2021-01-02 19:00:00-05:00,5.0,FINISHED,27.0,5ff1e1eacfcf6c399c274ae6,True
5ff1e1cf0a720f0523000570,5.0,All-receipts receipt bonus,2021-01-03 10:25:03-05:00,2021-01-03 10:25:03-05:00,2021-01-03 15:25:09+00:00,2021-01-03 15:25:09+00:00,2021-01-03 10:25:03-05:00,5.0,2021-01-02 10:25:03-05:00,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,True
5ff1e1e10a720f0523000572,25.0,COMPLETE_NONPARTNER_RECEIPT,2021-01-03 10:25:21-05:00,2021-01-03 10:25:21-05:00,2021-01-03 15:25:21+00:00,2021-01-03 15:25:26+00:00,2021-01-03 10:25:21-05:00,35.0,2021-01-02 10:25:21-05:00,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,True
